epoch,train_data,wave,gauge,ic,bdry,val_data,best_val,phys_w,bad,epoch_sec,unix_ts
138,4.736074e-03,2.879111e+02,5.120322e-02,3.495276e-06,3.333633e-01,4.937815e-03,4.459168e-03,0.0001,15,299.1,1781849959
139,4.699914e-03,2.636869e+02,5.177460e-02,3.961375e-06,3.315713e-01,4.930711e-03,4.459168e-03,0.0001,16,299.2,1781850258
140,3.918600e-03,2.762797e+02,4.606494e-02,3.960727e-06,3.316450e-01,3.896284e-03,3.896284e-03,0.0000,0,299.2,1781850557
141,3.849645e-03,2.752383e+02,4.692531e-02,3.948684e-06,3.305023e-01,3.818796e-03,3.818796e-03,0.0000,0,299.2,1781850856
142,3.821380e-03,2.745552e+02,4.523900e-02,3.710439e-06,3.306346e-01,3.839474e-03,3.818796e-03,0.0000,1,299.1,1781851155
143,3.806403e-03,2.788112e+02,4.513265e-02,3.753418e-06,3.308692e-01,3.805940e-03,3.805940e-03,0.0000,0,298.8,1781851454
144,3.794751e-03,2.743658e+02,4.545924e-02,3.958721e-06,3.303132e-01,3.815899e-03,3.805940e-03,0.0000,1,299.2,1781851754
145,3.788637e-03,2.747822e+02,4.419289e-02,3.898603e-06,3.307486e-01,3.936516e-03,3.805940e-03,0.0000,2,299.2,1781852053
146,3.747744e-03,2.687809e+02,4.479215e-02,3.819913e-06,3.320401e-01,3.729845e-03,3.729845e-03,0.0000,0,299.1,1781852352
147,3.721648e-03,2.605711e+02,4.559345e-02,4.073783e-06,3.337075e-01,3.849199e-03,3.729845e-03,0.0000,1,299.3,1781852651
148,3.696407e-03,2.731335e+02,4.683460e-02,4.498520e-06,3.298840e-01,3.758442e-03,3.729845e-03,0.0000,2,299.2,1781852950
149,3.651959e-03,2.785437e+02,4.725432e-02,4.186419e-06,3.339608e-01,3.497302e-03,3.497302e-03,0.0000,0,299.3,1781853250
150,3.628823e-03,2.748772e+02,4.880351e-02,4.068993e-06,3.321799e-01,3.777324e-03,3.497302e-03,0.0000,1,299.3,1781853549
151,3.609222e-03,2.707508e+02,4.773669e-02,3.687335e-06,3.305454e-01,3.655726e-03,3.497302e-03,0.0000,2,299.2,1781853848
152,3.604811e-03,2.740383e+02,4.799374e-02,3.731316e-06,3.318596e-01,3.744496e-03,3.497302e-03,0.0000,3,299.2,1781854147
153,3.644374e-03,2.762310e+02,5.055862e-02,3.807922e-06,3.334295e-01,3.799155e-03,3.497302e-03,0.0000,4,299.1,1781854446
154,3.576042e-03,2.736238e+02,4.847458e-02,3.442712e-06,3.356081e-01,3.585111e-03,3.497302e-03,0.0000,5,299.1,1781854745
155,3.553758e-03,2.762423e+02,4.881038e-02,3.717143e-06,3.331484e-01,3.516855e-03,3.497302e-03,0.0000,6,299.1,1781855045
156,3.542050e-03,2.778019e+02,5.023798e-02,3.250861e-06,3.334195e-01,3.594504e-03,3.497302e-03,0.0000,7,299.1,1781855344
157,3.486721e-03,2.807287e+02,4.830019e-02,3.871037e-06,3.317575e-01,3.505692e-03,3.497302e-03,0.0000,8,299.2,1781855643
158,3.482829e-03,2.757877e+02,5.029441e-02,3.949061e-06,3.341097e-01,3.548272e-03,3.497302e-03,0.0000,9,299.2,1781855942
159,3.449222e-03,2.774658e+02,4.820437e-02,3.856992e-06,3.300010e-01,3.503030e-03,3.497302e-03,0.0000,10,299.3,1781856241
160,3.415412e-03,2.809534e+02,5.362868e-02,3.501294e-06,3.311528e-01,3.480242e-03,3.480242e-03,0.0000,0,299.3,1781856541
161,3.409726e-03,2.801278e+02,4.974013e-02,3.520548e-06,3.322731e-01,3.355094e-03,3.355094e-03,0.0000,0,299.3,1781856840
162,3.384750e-03,2.861108e+02,5.327950e-02,4.228493e-06,3.326538e-01,3.379734e-03,3.355094e-03,0.0000,1,299.2,1781857139
163,3.340572e-03,2.821650e+02,4.979479e-02,3.856571e-06,3.304451e-01,3.416977e-03,3.355094e-03,0.0000,2,447.8,1781857587
164,3.322320e-03,2.891983e+02,4.864998e-02,4.032654e-06,3.313151e-01,3.376394e-03,3.355094e-03,0.0000,3,299.2,1781857886
165,3.329099e-03,2.868139e+02,4.790244e-02,4.100679e-06,3.331179e-01,3.319710e-03,3.319710e-03,0.0000,0,299.3,1781858186
166,3.282681e-03,2.873124e+02,4.786859e-02,4.107820e-06,3.311322e-01,3.258337e-03,3.258337e-03,0.0000,0,299.2,1781858485
167,3.253147e-03,2.860812e+02,4.798249e-02,4.146811e-06,3.308690e-01,3.317222e-03,3.258337e-03,0.0000,1,299.3,1781858784
168,3.280022e-03,2.816389e+02,4.731404e-02,3.810170e-06,3.346802e-01,3.318433e-03,3.258337e-03,0.0000,2,299.2,1781859083
169,3.241408e-03,2.845379e+02,4.763126e-02,4.311806e-06,3.350655e-01,3.278827e-03,3.258337e-03,0.0000,3,299.3,1781859383
170,3.223654e-03,2.921042e+02,4.808855e-02,4.069352e-06,3.288590e-01,3.220813e-03,3.220813e-03,0.0000,0,299.4,1781859682
171,3.226475e-03,2.866577e+02,4.871186e-02,4.365357e-06,3.307986e-01,3.283322e-03,3.220813e-03,0.0000,1,299.2,1781859981
172,3.207785e-03,2.888059e+02,5.128844e-02,4.342846e-06,3.340488e-01,3.155067e-03,3.155067e-03,0.0000,0,299.2,1781860280
173,3.223801e-03,2.812370e+02,5.033297e-02,4.000668e-06,3.323167e-01,3.229027e-03,3.155067e-03,0.0000,1,299.1,1781860580
174,3.190513e-03,2.856732e+02,5.062085e-02,4.127103e-06,3.337936e-01,3.284853e-03,3.155067e-03,0.0000,2,299.0,1781860879
175,3.176900e-03,2.750629e+02,4.708437e-02,4.243363e-06,3.332262e-01,3.328866e-03,3.155067e-03,0.0000,3,299.1,1781861178
176,3.186689e-03,2.754624e+02,4.607467e-02,3.968395e-06,3.330841e-01,3.286889e-03,3.155067e-03,0.0000,4,299.1,1781861477
177,3.204631e-03,2.852929e+02,4.592405e-02,3.778817e-06,3.307619e-01,3.283134e-03,3.155067e-03,0.0000,5,299.1,1781861776
178,3.223216e-03,2.750894e+02,4.887506e-02,4.102726e-06,3.294986e-01,3.277320e-03,3.155067e-03,0.0000,6,299.2,1781862075
179,3.191061e-03,2.723958e+02,4.715348e-02,4.047426e-06,3.324244e-01,3.242521e-03,3.155067e-03,0.0000,7,299.2,1781862374
180,3.184060e-03,2.796220e+02,5.065259e-02,4.315469e-06,3.326996e-01,3.300255e-03,3.155067e-03,0.0000,8,298.8,1781862673
181,3.179706e-03,2.792262e+02,4.814174e-02,4.150049e-06,3.317403e-01,3.154789e-03,3.154789e-03,0.0000,0,298.5,1781862972
182,3.141729e-03,2.811076e+02,5.146207e-02,3.958114e-06,3.343205e-01,3.228397e-03,3.154789e-03,0.0000,1,298.8,1781863271
183,3.129634e-03,2.836584e+02,4.870283e-02,3.346098e-06,3.324951e-01,3.187187e-03,3.154789e-03,0.0000,2,298.9,1781863569
